CustomerID,Lookalike1_ID,Lookalike1_Score,Lookalike2_ID,Lookalike2_Score,Lookalike3_ID,Lookalike3_Score
C0001,C0194,0.38,C0104,0.37,C0199,0.34
C0002,C0091,0.41,C0030,0.38,C0173,0.32
C0003,C0181,0.48,C0134,0.43,C0144,0.42
C0004,C0070,0.38,C0175,0.3,C0025,0.26
C0005,C0023,0.48,C0096,0.46,C0119,0.36
C0006,C0058,0.4,C0040,0.38,C0196,0.34
C0007,C0079,0.61,C0118,0.45,C0020,0.4
C0008,C0144,0.31,C0028,0.28,C0165,0.26
C0009,C0140,0.54,C0162,0.48,C0072,0.44
C0010,C0094,0.48,C0143,0.37,C0092,0.34
C0011,C0135,0.5,C0120,0.36,C0107,0.31
C0012,C0066,0.33,C0101,0.32,C0164,0.32
C0013,C0169,0.38,C0099,0.34,C0092,0.29
C0014,C0128,0.82,C0159,0.63,C0058,0.44
C0015,C0073,0.7,C0036,0.59,C0059,0.45
C0016,C0187,0.62,C0052,0.56,C0064,0.47
C0017,C0071,0.43,C0024,0.35,C0037,0.34
C0018,C0177,0.35,C0115,0.31,C0059,0.31
C0019,C0064,0.39,C0024,0.37,C0084,0.35
C0020,C0026,0.63,C0104,0.4,C0007,0.4
